,date,time,x-pid,x-status,x-ctx,x-comment,new,hello
76,2017-10-28,08:52:07,10124,(s)2641173,<08:52:07:937>,USER,"[setValue:users_so,fmitslr1333]:",Set shared object property
77,2017-10-28,08:52:51,10124,(s)2641173,<08:52:51:501>,USER,"[disconnectPreviousConnections, Name:dauiimp1076: NewId:4702111235146072431: retryCounter:0: NewIP:14.139.240.230: NewMacAddress:80-C1-6E-FF-4C-DC]:",Entered Function Current number of clients:10
78,2017-10-28,08:52:51,10124,(s)2641173,<08:52:51:502>,USER,[online_directory]:,"client connected. name:dauiimp1076 id:4702111235146072431,14.139.240.230"
79,2017-10-28,08:52:51,10124,(s)2641173,<08:52:51:540>,USER,"[setValue:users_so,dauiimp1076]:",Set shared object property
80,2017-10-28,08:52:52,10124,(s)2641173,<08:52:52:550>,USER,"[setValue:users_so,dauiimp1076]:",Set shared object property
81,2017-10-28,08:54:43,10124,(s)2641173,<08:54:43:427>,USER,"[poll:4702111234508538223,182.73.164.133,mitump1096]:",Polled from client. Printed only once in 100 polls.
82,2017-10-28,08:55:01,10124,(s)2641173,<08:55:01:731>,USER,"[poll:4702111234609201519,202.88.252.51,fistmk1077]:",Polled from client. Printed only once in 100 polls.
83,2017-10-28,08:56:02,10124,(s)2641173,<08:56:02:593>,USER,"[disconnectPreviousConnections, Name:sscetptn1211: NewId:4702111235179626863: retryCounter:0: NewIP:114.29.237.18: NewMacAddress:0A-00-27-00-00-06]:",Entered Function Current number of clients:11
84,2017-10-28,08:56:02,10124,(s)2641173,<08:56:02:594>,USER,[online_directory]:,"client connected. name:sscetptn1211 id:4702111235179626863,114.29.237.18"
85,2017-10-28,08:56:02,10124,(s)2641173,<08:56:02:677>,USER,"[setValue:users_so,sscetptn1211]:",Set shared object property
86,2017-10-28,08:56:05,10124,(s)2641173,<08:56:05:362>,USER,"[setValue:users_so,sscetptn1211]:",Set shared object property
87,2017-10-28,08:56:33,10124,(s)2641173,<08:56:33:279>,USER,"[poll:4702111234860859759,14.139.60.9,nitkh1134]:",Polled from client. Printed only once in 100 polls.
88,2017-10-28,08:56:36,10124,(s)2641173,<08:56:36:785>,USER,"[poll:4702111234642755951,103.90.157.27,gistgap1294]:",Polled from client. Printed only once in 100 polls.
89,2017-10-28,08:57:29,10124,(s)2641173,<08:57:29:562>,USER,"[poll:4702111234676310383,14.139.236.46,dcrustmh1064]:",Polled from client. Printed only once in 100 polls.
90,2017-10-28,08:57:31,10124,(s)2641173,<08:57:31:826>,USER,[online_directory]:,OnDisconnect:epmcektn1061
91,2017-10-28,08:57:47,10124,(s)2641173,<08:57:47:326>,USER,"[disconnectPreviousConnections, Name:mitmpmp1099: NewId:4702111235229958511: retryCounter:0: NewIP:183.182.85.18: NewMacAddress:64-00-6A-14-E9-75]:",Entered Function Current number of clients:11
